## General ##
Date: 2025-10-19
Used GPU: h100

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_short.json, #prompts: 50
Model: Qwen/Qwen3-14B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 2m 9s
Evaluation: 0h 0m 0s
Script total: 0h 2m 10s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
|    20    |  0.1423   |  0.1442  |  0.1361  |    24    |    1438    |    8222    | 0h 2m 22s  |     12     |
|    21    |  0.1395   |  0.1400  |  0.1324  |    23    |    1601    |    7844    |  0h 4m 4s  |     12     |
|    22    |  0.1279   |  0.1479  |  0.1309  |    21    |    1672    |    8912    | 0h 2m 46s  |     13     |
|    23    |  0.1688   |  0.1483  |  0.1505  |    23    |    2462    |    7738    |  0h 2m 7s  |     10     |
|    24    |  0.1514   |  0.1485  |  0.1419  |    24    |    1786    |    7319    |  0h 2m 2s  |     12     |
|    25    |  0.1428   |  0.1431  |  0.1348  |    23    |    1480    |    7048    |  0h 2m 9s  |     11     |
|    26    |  0.1604   |  0.1400  |  0.1419  |    26    |    1168    |    6755    | 0h 1m 56s  |     9      |
|    27    |  0.1331   |  0.1349  |  0.1274  |    22    |    1265    |    7206    | 0h 2m 12s  |     12     |
|    28    |  0.1259   |  0.1392  |  0.1246  |    24    |    1311    |    8018    |  0h 4m 4s  |     13     |
|    29    |  0.1581   |  0.1335  |  0.1375  |    26    |    1583    |    7424    |  0h 2m 5s  |     10     |
|    30    |  0.1136   |  0.1379  |  0.1190  |    24    |    1383    |    7829    | 0h 2m 16s  |     14     |
|    31    |  0.1133   |  0.1500  |  0.1224  |    22    |    1523    |    8675    | 0h 4m 20s  |     15     |
|    32    |  0.1385   |  0.1514  |  0.1378  |    25    |    1420    |    7453    | 0h 2m 16s  |     13     |
|    33    |  0.1569   |  0.1462  |  0.1430  |    25    |    1536    |    7651    | 0h 2m 13s  |     11     |
|    34    |  0.1685   |  0.1527  |  0.1518  |    22    |    1700    |    7093    | 0h 1m 55s  |     10     |
|    35    |  0.1428   |  0.1521  |  0.1405  |    23    |    1412    |    7595    |  0h 2m 6s  |     13     |
|    36    |  0.1353   |  0.1402  |  0.1299  |    24    |    1441    |    7281    | 0h 1m 59s  |     12     |
|    37    |  0.1058   |  0.1471  |  0.1169  |    23    |    1419    |    8500    | 0h 2m 27s  |     17     |
|    38    |  0.1395   |  0.1453  |  0.1337  |    19    |    1567    |    7703    | 0h 2m 13s  |     12     |
|    39    |  0.1464   |  0.1368  |  0.1336  |    26    |    1822    |    7665    | 0h 2m 24s  |     11     |
|    40    |  0.1660   |  0.1505  |  0.1483  |    27    |    1782    |    6724    |  0h 2m 7s  |     11     |
|    41    |  0.1157   |  0.1644  |  0.1293  |    16    |    1588    |    8957    | 0h 10m 4s  |     16     |
|    42    |  0.1638   |  0.1408  |  0.1434  |    20    |    1660    |    7339    |  0h 2m 6s  |     10     |
|    43    |  0.1532   |  0.1488  |  0.1438  |    22    |    1176    |    6892    |  0h 2m 0s  |     12     |
|    44    |  0.1520   |  0.1365  |  0.1340  |    24    |    1399    |    6575    |  0h 2m 1s  |     11     |
|    45    |  0.1580   |  0.1578  |  0.1484  |    19    |    1599    |    7871    |  0h 4m 5s  |     12     |
|    46    |  0.1573   |  0.1447  |  0.1432  |    24    |    1656    |    7197    |  0h 2m 2s  |     11     |
|    47    |  0.1549   |  0.1423  |  0.1399  |    24    |    1608    |    8012    | 0h 4m 12s  |     11     |
|    48    |  0.1298   |  0.1530  |  0.1335  |    20    |    1482    |    7736    | 0h 2m 26s  |     14     |
|    49    |  0.1341   |  0.1629  |  0.1387  |    19    |    1679    |    8017    |  0h 2m 9s  |     14     |

Evaluation dataset: subval_3.parquet, length: 100, metric: SHORT_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2032   |  0.1786  |  0.1781  |    18    |    223     |    6181    | 0h 1m 32s  |     11     |
|    1     |  0.2642   |  0.1893  |  0.2105  |    17    |    963     |    5168    | 0h 1m 20s  |     9      |
|    2     |  0.1692   |  0.2632  |  0.1962  |    10    |    651     |   11635    | 0h 3m 20s  |     20     |
|    3     |  0.2021   |  0.2166  |  0.1986  |    8     |    1093    |    6429    | 0h 1m 59s  |     14     |
|    4     |  0.2110   |  0.2263  |  0.2070  |    12    |    1602    |    7922    | 0h 2m 22s  |     13     |
|    5     |  0.2291   |  0.1799  |  0.1911  |    11    |    1071    |    6743    | 0h 1m 56s  |     10     |
|    6     |  0.2189   |  0.1612  |  0.1742  |    21    |    952     |    9249    | 0h 2m 16s  |     9      |
|    7     |  0.2394   |  0.1546  |  0.1760  |    23    |    1157    |    6956    |  0h 2m 0s  |     8      |
|    8     |  0.2407   |  0.1659  |  0.1868  |    20    |    1695    |    6290    | 0h 1m 50s  |     9      |
|    9     |  0.2419   |  0.1889  |  0.2010  |    16    |    1281    |    6084    | 0h 1m 35s  |     9      |
|    10    |  0.2239   |  0.1866  |  0.1945  |    19    |    929     |   10126    | 0h 2m 33s  |     10     |
|    11    |  0.1498   |  0.0677  |  0.0844  |    46    |    983     |    7800    | 0h 2m 44s  |     6      |
|    12    |  0.2556   |  0.2265  |  0.2250  |    10    |    1254    |    7139    | 0h 1m 49s  |     11     |
|    13    |  0.2517   |  0.1967  |  0.2097  |    16    |    1437    |    6550    | 0h 1m 44s  |     10     |
|    14    |  0.2170   |  0.2224  |  0.2087  |    14    |    1264    |    7771    |  0h 4m 0s  |     13     |
|    15    |  0.2002   |  0.2205  |  0.1985  |    11    |    1351    |    7263    |  0h 2m 7s  |     14     |
|    16    |  0.2539   |  0.2256  |  0.2243  |    12    |    1411    |    5329    | 0h 1m 43s  |     11     |
|    17    |  0.2550   |  0.2296  |  0.2288  |    9     |    1355    |    7217    |  0h 2m 8s  |     11     |
|    18    |  0.2207   |  0.2205  |  0.2095  |    9     |    1347    |    7359    | 0h 1m 59s  |     13     |
|    19    |  0.2322   |  0.2149  |  0.2124  |    10    |    1584    |    7940    | 0h 2m 32s  |     12     |
|    20    |  0.2178   |  0.2086  |  0.2013  |    13    |    1438    |    8222    | 0h 2m 22s  |     12     |
|    21    |  0.2197   |  0.2127  |  0.2051  |    10    |    1601    |    7844    |  0h 4m 4s  |     12     |
|    22    |  0.2092   |  0.2226  |  0.2056  |    9     |    1672    |    8912    | 0h 2m 46s  |     13     |
|    23    |  0.2538   |  0.2126  |  0.2196  |    12    |    2462    |    7738    |  0h 2m 7s  |     10     |
|    24    |  0.2344   |  0.2154  |  0.2116  |    14    |    1786    |    7319    |  0h 2m 2s  |     12     |
|    25    |  0.2331   |  0.2187  |  0.2132  |    14    |    1480    |    7048    |  0h 2m 9s  |     11     |
|    26    |  0.2661   |  0.2150  |  0.2258  |    11    |    1168    |    6755    | 0h 1m 56s  |     9      |
|    27    |  0.2304   |  0.2159  |  0.2114  |    11    |    1265    |    7206    | 0h 2m 12s  |     12     |
|    28    |  0.2022   |  0.2119  |  0.1957  |    13    |    1311    |    8018    |  0h 4m 4s  |     13     |
|    29    |  0.2526   |  0.2038  |  0.2145  |    12    |    1583    |    7424    |  0h 2m 5s  |     10     |
|    30    |  0.1780   |  0.2090  |  0.1835  |    13    |    1383    |    7829    | 0h 2m 16s  |     14     |
|    31    |  0.1920   |  0.2387  |  0.2019  |    11    |    1523    |    8675    | 0h 4m 20s  |     15     |
|    32    |  0.2109   |  0.2285  |  0.2092  |    12    |    1420    |    7453    | 0h 2m 16s  |     13     |
|    33    |  0.2478   |  0.2140  |  0.2175  |    11    |    1536    |    7651    | 0h 2m 13s  |     11     |
|    34    |  0.2699   |  0.2260  |  0.2328  |    9     |    1700    |    7093    | 0h 1m 55s  |     10     |
|    35    |  0.2337   |  0.2356  |  0.2226  |    9     |    1412    |    7595    |  0h 2m 6s  |     13     |
|    36    |  0.2170   |  0.2102  |  0.2026  |    13    |    1441    |    7281    | 0h 1m 59s  |     12     |
|    37    |  0.1743   |  0.2200  |  0.1839  |    11    |    1419    |    8500    | 0h 2m 27s  |     17     |
|    38    |  0.2289   |  0.2213  |  0.2120  |    9     |    1567    |    7703    | 0h 2m 13s  |     12     |
|    39    |  0.2332   |  0.2071  |  0.2063  |    15    |    1822    |    7665    | 0h 2m 24s  |     11     |
|    40    |  0.2597   |  0.2264  |  0.2285  |    15    |    1782    |    6724    |  0h 2m 7s  |     11     |
|    41    |  0.2051   |  0.2516  |  0.2151  |    7     |    1588    |    8957    | 0h 10m 4s  |     16     |
|    42    |  0.2534   |  0.2131  |  0.2195  |    11    |    1660    |    7339    |  0h 2m 6s  |     10     |
|    43    |  0.2405   |  0.2224  |  0.2190  |    12    |    1176    |    6892    |  0h 2m 0s  |     12     |
|    44    |  0.2422   |  0.2035  |  0.2079  |    12    |    1399    |    6575    |  0h 2m 1s  |     11     |
|    45    |  0.2416   |  0.2243  |  0.2189  |    8     |    1599    |    7871    |  0h 4m 5s  |     12     |
|    46    |  0.2366   |  0.2097  |  0.2110  |    15    |    1656    |    7197    |  0h 2m 2s  |     11     |
|    47    |  0.2436   |  0.2083  |  0.2110  |    15    |    1608    |    8012    | 0h 4m 12s  |     11     |
|    48    |  0.2125   |  0.2282  |  0.2095  |    9     |    1482    |    7736    | 0h 2m 26s  |     14     |
|    49    |  0.1970   |  0.2275  |  0.2004  |    10    |    1679    |    8017    |  0h 2m 9s  |     14     |

