## General ##
Date: 2025-10-19
Used GPU: b200

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_short.json, #prompts: 50
Model: Qwen/Qwen3-32B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 4m 47s
Evaluation: 0h 0m 0s
Script total: 0h 4m 48s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
|    21    |  0.1218   |  0.2309  |  0.1473  |    11    |    1097    |   15183    | 0h 4m 56s  |     35     |
|    22    |  0.1296   |  0.2264  |  0.1544  |    13    |    1473    |   14944    | 0h 4m 51s  |     26     |
|    23    |  0.1366   |  0.2193  |  0.1521  |    13    |    1239    |   14490    |  0h 5m 5s  |     30     |
|    24    |  0.1130   |  0.2476  |  0.1463  |    11    |    2093    |   15822    |  0h 5m 7s  |     30     |
|    25    |  0.1201   |  0.2281  |  0.1415  |    11    |    1180    |   13940    | 0h 4m 42s  |     43     |
|    26    |  0.1321   |  0.2146  |  0.1485  |    13    |    1196    |   14865    | 0h 4m 56s  |     27     |
|    27    |  0.1356   |  0.2140  |  0.1520  |    13    |    1350    |   14068    | 0h 4m 39s  |     27     |
|    28    |  0.1237   |  0.2316  |  0.1493  |    10    |    1270    |   16529    | 0h 4m 56s  |     28     |
|    29    |  0.1224   |  0.2226  |  0.1470  |    11    |    1357    |   15860    | 0h 4m 53s  |     27     |
|    30    |  0.1228   |  0.1994  |  0.1384  |    13    |    1325    |   13150    | 0h 4m 42s  |     39     |
|    31    |  0.1251   |  0.2270  |  0.1499  |    11    |    1227    |   15091    | 0h 4m 55s  |     30     |
|    32    |  0.1284   |  0.2289  |  0.1495  |    12    |    1196    |   15293    | 0h 4m 55s  |     30     |
|    33    |  0.1495   |  0.2171  |  0.1702  |    15    |    1177    |    8243    | 0h 1m 55s  |     17     |
|    34    |  0.1307   |  0.2275  |  0.1500  |    12    |    1176    |   16725    | 0h 5m 10s  |     31     |
|    35    |  0.1009   |  0.2266  |  0.1305  |    11    |    1574    |   16010    |  0h 5m 2s  |     32     |
|    36    |  0.1040   |  0.2210  |  0.1337  |    14    |    1372    |   16135    |  0h 5m 5s  |     33     |
|    37    |  0.1110   |  0.2267  |  0.1382  |    12    |    1537    |   15538    | 0h 4m 56s  |     37     |
|    38    |  0.1440   |  0.2258  |  0.1618  |    11    |    1410    |   15540    | 0h 4m 50s  |     32     |
|    39    |  0.1331   |  0.2352  |  0.1584  |    9     |    1337    |   13162    | 0h 4m 42s  |     30     |
|    40    |  0.1212   |  0.2183  |  0.1427  |    11    |    1353    |   14558    | 0h 4m 51s  |     29     |
|    41    |  0.1349   |  0.2202  |  0.1547  |    12    |    1472    |   14668    | 0h 4m 49s  |     28     |
|    42    |  0.1247   |  0.2403  |  0.1505  |    8     |    1369    |   14798    | 0h 4m 55s  |     35     |
|    43    |  0.1332   |  0.2299  |  0.1529  |    14    |    1436    |   14771    | 0h 4m 54s  |     33     |
|    44    |  0.1348   |  0.2191  |  0.1520  |    8     |    1426    |   14136    | 0h 4m 43s  |     30     |
|    45    |  0.1260   |  0.2451  |  0.1535  |    12    |    1466    |   14746    | 0h 4m 55s  |     32     |
|    46    |  0.1218   |  0.2330  |  0.1474  |    12    |    1554    |   15620    |  0h 5m 0s  |     33     |
|    47    |  0.1302   |  0.2145  |  0.1478  |    12    |    1265    |   19832    |  0h 5m 1s  |     33     |
|    48    |  0.1152   |  0.2046  |  0.1368  |    16    |    1500    |   14384    | 0h 4m 48s  |     25     |
|    49    |  0.1522   |  0.2196  |  0.1653  |    13    |    1496    |   14733    | 0h 4m 47s  |     29     |

Evaluation dataset: subval_3.parquet, length: 100, metric: SHORT_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.2457   |  0.2318  |  0.2222  |    12    |    223     |    7308    | 0h 4m 24s  |     12     |
|    1     |  0.2126   |  0.2765  |  0.2298  |    7     |    946     |    9585    | 0h 3m 43s  |     17     |
|    2     |  0.1839   |  0.2930  |  0.2125  |    6     |    1497    |   15194    |  0h 5m 0s  |     24     |
|    3     |  0.1914   |  0.2676  |  0.2024  |    10    |    1357    |   15681    |  0h 5m 4s  |     28     |
|    4     |  0.1803   |  0.3034  |  0.2098  |    6     |    1431    |   17142    |  0h 5m 6s  |     28     |
|    5     |  0.1733   |  0.2909  |  0.1992  |    7     |    1352    |   16334    |  0h 5m 8s  |     35     |
|    6     |  0.1898   |  0.2890  |  0.2100  |    9     |    1145    |   12607    | 0h 4m 41s  |     36     |
|    7     |  0.1543   |  0.2832  |  0.1865  |    8     |    1787    |   23757    | 0h 5m 12s  |     26     |
|    8     |  0.1738   |  0.3036  |  0.2078  |    7     |    1286    |   13536    | 0h 4m 44s  |     31     |
|    9     |  0.1691   |  0.2835  |  0.1976  |    7     |    1325    |   13630    | 0h 4m 35s  |     25     |
|    10    |  0.1802   |  0.2966  |  0.2068  |    7     |    1131    |   14850    |  0h 5m 2s  |     29     |
|    11    |  0.1951   |  0.2774  |  0.2116  |    7     |    1380    |   20798    |  0h 5m 1s  |     25     |
|    12    |  0.1905   |  0.2683  |  0.2089  |    13    |    1812    |   15154    | 0h 4m 59s  |     22     |
|    13    |  0.1590   |  0.2965  |  0.1895  |    5     |    1253    |   15201    |  0h 5m 1s  |     40     |
|    14    |  0.1921   |  0.2815  |  0.2069  |    10    |    1352    |   14913    |  0h 5m 4s  |     29     |
|    15    |  0.1620   |  0.3131  |  0.2002  |    8     |    1292    |   17086    | 0h 4m 55s  |     30     |
|    16    |  0.1731   |  0.2821  |  0.1994  |    7     |    1204    |   17522    | 0h 5m 12s  |     32     |
|    17    |  0.2050   |  0.2895  |  0.2232  |    11    |    1208    |   15680    | 0h 4m 54s  |     26     |
|    18    |  0.1685   |  0.2948  |  0.1971  |    9     |    1261    |   15798    |  0h 5m 6s  |     35     |
|    19    |  0.2082   |  0.2786  |  0.2220  |    10    |    1374    |   14784    | 0h 4m 54s  |     24     |
|    20    |  0.1692   |  0.2913  |  0.1973  |    10    |    1273    |   20016    |  0h 5m 5s  |     28     |
|    21    |  0.1675   |  0.2990  |  0.1981  |    7     |    1097    |   15183    | 0h 4m 56s  |     35     |
|    22    |  0.1770   |  0.2852  |  0.2057  |    8     |    1473    |   14944    | 0h 4m 51s  |     26     |
|    23    |  0.1906   |  0.2866  |  0.2063  |    9     |    1239    |   14490    |  0h 5m 5s  |     30     |
|    24    |  0.1549   |  0.3230  |  0.1966  |    7     |    2093    |   15822    |  0h 5m 7s  |     30     |
|    25    |  0.1608   |  0.2925  |  0.1865  |    7     |    1180    |   13940    | 0h 4m 42s  |     43     |
|    26    |  0.1896   |  0.2831  |  0.2068  |    10    |    1196    |   14865    | 0h 4m 56s  |     27     |
|    27    |  0.1854   |  0.2757  |  0.2034  |    8     |    1350    |   14068    | 0h 4m 39s  |     27     |
|    28    |  0.1738   |  0.3058  |  0.2053  |    5     |    1270    |   16529    | 0h 4m 56s  |     28     |
|    29    |  0.1616   |  0.2800  |  0.1916  |    8     |    1357    |   15860    | 0h 4m 53s  |     27     |
|    30    |  0.1742   |  0.2681  |  0.1928  |    4     |    1325    |   13150    | 0h 4m 42s  |     39     |
|    31    |  0.1762   |  0.2995  |  0.2057  |    6     |    1227    |   15091    | 0h 4m 55s  |     30     |
|    32    |  0.1718   |  0.2798  |  0.1954  |    10    |    1196    |   15293    | 0h 4m 55s  |     30     |
|    33    |  0.2051   |  0.2797  |  0.2269  |    9     |    1177    |    8243    | 0h 1m 55s  |     17     |
|    34    |  0.1849   |  0.2941  |  0.2056  |    10    |    1176    |   16725    | 0h 5m 10s  |     31     |
|    35    |  0.1457   |  0.2974  |  0.1839  |    8     |    1574    |   16010    |  0h 5m 2s  |     32     |
|    36    |  0.1581   |  0.3116  |  0.1986  |    7     |    1372    |   16135    |  0h 5m 5s  |     33     |
|    37    |  0.1501   |  0.2935  |  0.1846  |    8     |    1537    |   15538    | 0h 4m 56s  |     37     |
|    38    |  0.1958   |  0.2982  |  0.2175  |    5     |    1410    |   15540    | 0h 4m 50s  |     32     |
|    39    |  0.1818   |  0.3011  |  0.2124  |    7     |    1337    |   13162    | 0h 4m 42s  |     30     |
|    40    |  0.1583   |  0.2710  |  0.1846  |    8     |    1353    |   14558    | 0h 4m 51s  |     29     |
|    41    |  0.1899   |  0.3015  |  0.2151  |    4     |    1472    |   14668    | 0h 4m 49s  |     28     |
|    42    |  0.1686   |  0.3071  |  0.2015  |    6     |    1369    |   14798    | 0h 4m 55s  |     35     |
|    43    |  0.1750   |  0.2848  |  0.1975  |    11    |    1436    |   14771    | 0h 4m 54s  |     33     |
|    44    |  0.1810   |  0.2814  |  0.2025  |    6     |    1426    |   14136    | 0h 4m 43s  |     30     |
|    45    |  0.1601   |  0.2979  |  0.1924  |    10    |    1466    |   14746    | 0h 4m 55s  |     32     |
|    46    |  0.1636   |  0.2958  |  0.1942  |    8     |    1554    |   15620    |  0h 5m 0s  |     33     |
|    47    |  0.1744   |  0.2728  |  0.1947  |    7     |    1265    |   19832    |  0h 5m 1s  |     33     |
|    48    |  0.1691   |  0.2637  |  0.1927  |    10    |    1500    |   14384    | 0h 4m 48s  |     25     |
|    49    |  0.2024   |  0.2839  |  0.2183  |    9     |    1496    |   14733    | 0h 4m 47s  |     29     |

