## General ##
Date: 2025-10-19
Used GPU: a100

## Data and Model ##
Dataset: subval_3.parquet, Shape: (100, 456)
Prompt set: one_short.json, #prompts: 50
Model: Qwen/Qwen3-8B

## p_data_config ##
Temperature: 0.6
Max tokens: 10000
Role with patient note: user
Enable thinking: True
Continue final message: False
Add generation prompt: True
Improve prompt: True

## Time last prompt##
Make prompts: 0h 0m 1s
Predictions: 0h 15m 22s
Evaluation: 0h 0m 1s
Script total: 0h 15m 24s

## Evaluation ##
Evaluation dataset: subval_3.parquet, length: 100, metric: LONG_CODES, mean codes GT: 13.0
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
|    17    |  0.0840   |  0.1350  |  0.0973  |    28    |    3524    |   23322    | 0h 12m 8s  |     19     |
|    18    |  0.0758   |  0.1382  |  0.0929  |    24    |    2757    |   21219    | 0h 11m 31s |     22     |
|    19    |  0.1108   |  0.1330  |  0.1136  |    25    |    2165    |   22485    | 0h 11m 35s |     16     |
|    20    |  0.1037   |  0.1342  |  0.1087  |    23    |    2175    |   23484    | 0h 11m 46s |     20     |
|    21    |  0.1015   |  0.1430  |  0.1125  |    18    |    2828    |   21669    | 0h 10m 58s |     17     |
|    22    |  0.1203   |  0.1402  |  0.1214  |    20    |    2179    |   25319    | 0h 11m 39s |     15     |
|    23    |  0.0909   |  0.1178  |  0.0958  |    30    |    2987    |   23479    | 0h 12m 37s |     17     |
|    24    |  0.1069   |  0.1434  |  0.1156  |    24    |    3190    |   23428    | 0h 12m 19s |     16     |
|    25    |  0.1068   |  0.1287  |  0.1102  |    23    |    1982    |   30840    | 0h 12m 8s  |     17     |
|    26    |  0.1125   |  0.1307  |  0.1124  |    20    |    2068    |   23399    | 0h 11m 49s |     19     |
|    27    |  0.0915   |  0.1229  |  0.0990  |    28    |    2074    |   23116    | 0h 12m 8s  |     18     |
|    28    |  0.1077   |  0.1454  |  0.1132  |    27    |    3302    |   26765    | 0h 13m 26s |     19     |
|    29    |  0.0973   |  0.1316  |  0.1052  |    25    |    3369    |   24642    | 0h 13m 35s |     16     |
|    30    |  0.1167   |  0.1388  |  0.1184  |    19    |    2302    |   23003    | 0h 11m 45s |     18     |
|    31    |  0.1103   |  0.1408  |  0.1162  |    21    |    3413    |   25683    | 0h 13m 5s  |     18     |
|    32    |  0.1056   |  0.1198  |  0.1059  |    30    |    1955    |   19308    | 0h 9m 42s  |     15     |
|    33    |  0.1102   |  0.1265  |  0.1100  |    28    |    2225    |   23249    | 0h 10m 52s |     14     |
|    34    |  0.1027   |  0.1259  |  0.1066  |    25    |    3312    |   25542    | 0h 13m 43s |     17     |
|    35    |  0.1114   |  0.1374  |  0.1155  |    21    |    2307    |   23293    | 0h 12m 5s  |     16     |
|    36    |  0.0943   |  0.1457  |  0.1087  |    22    |    3057    |   23344    | 0h 13m 22s |     19     |
|    37    |  0.1068   |  0.1207  |  0.1056  |    24    |    2152    |   21551    | 0h 10m 23s |     17     |
|    38    |  0.1048   |  0.1664  |  0.1223  |    18    |    3396    |   21745    | 0h 11m 56s |     20     |
|    39    |  0.1154   |  0.1268  |  0.1135  |    24    |    2941    |   24047    | 0h 11m 34s |     14     |
|    40    |  0.1110   |  0.1478  |  0.1195  |    21    |    3063    |   23604    | 0h 12m 37s |     16     |
|    41    |  0.1173   |  0.1727  |  0.1325  |    14    |    2749    |   27621    | 0h 15m 14s |     20     |
|    42    |  0.1140   |  0.1263  |  0.1121  |    27    |    2126    |   21146    | 0h 10m 12s |     15     |
|    43    |  0.0780   |  0.1672  |  0.1026  |    16    |    7385    |   29842    | 0h 19m 2s  |     27     |
|    44    |  0.1150   |  0.1589  |  0.1257  |    15    |    3009    |   26236    | 0h 13m 49s |     17     |
|    45    |  0.1084   |  0.1626  |  0.1239  |    16    |    3579    |   22609    | 0h 11m 53s |     19     |
|    46    |  0.0806   |  0.1721  |  0.1034  |    16    |    4452    |   33867    | 0h 21m 49s |     28     |
|    47    |  0.0770   |  0.1636  |  0.0956  |    14    |    5436    |   28590    | 0h 16m 43s |     27     |
|    48    |  0.1346   |  0.1637  |  0.1388  |    16    |    3049    |   22774    | 0h 12m 7s  |     16     |
|    49    |  0.1084   |  0.1503  |  0.1181  |    15    |    2906    |   28471    | 0h 15m 22s |     19     |

Evaluation dataset: subval_3.parquet, length: 100, metric: SHORT_CODES, mean codes GT: 12.9
|  Prompt  | Precision |  Recall  |    F1    |  F1 = 0  | Prompt len | Output len |  Duration  | Codes Pred |
-------------------------------------------------------------------------------------------------------------
|    0     |  0.1425   |  0.1029  |  0.1118  |    36    |    223     |    7872    | 0h 2m 24s  |     8      |
|    1     |  0.1434   |  0.1934  |  0.1589  |    16    |    852     |   13076    | 0h 6m 10s  |     17     |
|    2     |  0.1464   |  0.1959  |  0.1565  |    17    |    951     |   15983    | 0h 6m 49s  |     17     |
|    3     |  0.1398   |  0.2101  |  0.1596  |    16    |    1754    |   18696    | 0h 10m 31s |     22     |
|    4     |  0.1502   |  0.2094  |  0.1632  |    13    |    1472    |   22624    | 0h 11m 41s |     20     |
|    5     |  0.1399   |  0.1940  |  0.1513  |    13    |    1399    |   16384    | 0h 8m 18s  |     20     |
|    6     |  0.1688   |  0.1883  |  0.1667  |    14    |    1736    |   21170    | 0h 11m 8s  |     17     |
|    7     |  0.1610   |  0.2181  |  0.1732  |    8     |    1904    |   23050    | 0h 12m 12s |     20     |
|    8     |  0.1688   |  0.2060  |  0.1753  |    11    |    2848    |   20627    | 0h 10m 35s |     19     |
|    9     |  0.1525   |  0.1928  |  0.1587  |    17    |    2717    |   25100    | 0h 12m 56s |     19     |
|    10    |  0.1456   |  0.2028  |  0.1573  |    16    |    2477    |   24405    | 0h 13m 1s  |     20     |
|    11    |  0.1590   |  0.1916  |  0.1615  |    11    |    2098    |   22491    | 0h 11m 39s |     19     |
|    12    |  0.1838   |  0.2097  |  0.1833  |    16    |    2020    |   23552    | 0h 12m 6s  |     16     |
|    13    |  0.1698   |  0.2024  |  0.1715  |    13    |    2800    |   23473    | 0h 11m 49s |     17     |
|    14    |  0.1502   |  0.2033  |  0.1607  |    13    |    3472    |   23725    | 0h 12m 31s |     20     |
|    15    |  0.1624   |  0.2075  |  0.1713  |    14    |    3382    |   23706    | 0h 11m 50s |     17     |
|    16    |  0.1777   |  0.2087  |  0.1782  |    12    |    2166    |   22905    | 0h 11m 36s |     16     |
|    17    |  0.1567   |  0.2213  |  0.1722  |    12    |    3524    |   23322    | 0h 12m 8s  |     19     |
|    18    |  0.1261   |  0.2085  |  0.1495  |    13    |    2757    |   21219    | 0h 11m 31s |     22     |
|    19    |  0.1706   |  0.1946  |  0.1716  |    17    |    2165    |   22485    | 0h 11m 35s |     16     |
|    20    |  0.1555   |  0.1953  |  0.1622  |    14    |    2175    |   23484    | 0h 11m 46s |     20     |
|    21    |  0.1590   |  0.2136  |  0.1722  |    13    |    2828    |   21669    | 0h 10m 58s |     17     |
|    22    |  0.1800   |  0.2028  |  0.1787  |    13    |    2179    |   25319    | 0h 11m 39s |     15     |
|    23    |  0.1404   |  0.1750  |  0.1453  |    15    |    2987    |   23479    | 0h 12m 37s |     17     |
|    24    |  0.1550   |  0.2017  |  0.1647  |    16    |    3190    |   23428    | 0h 12m 19s |     16     |
|    25    |  0.1541   |  0.1839  |  0.1584  |    14    |    1982    |   30840    | 0h 12m 8s  |     17     |
|    26    |  0.1768   |  0.1944  |  0.1719  |    14    |    2068    |   23399    | 0h 11m 49s |     19     |
|    27    |  0.1458   |  0.1838  |  0.1526  |    19    |    2074    |   23116    | 0h 12m 8s  |     18     |
|    28    |  0.1658   |  0.2115  |  0.1720  |    14    |    3302    |   26765    | 0h 13m 26s |     19     |
|    29    |  0.1458   |  0.1919  |  0.1563  |    16    |    3369    |   24642    | 0h 13m 35s |     16     |
|    30    |  0.1769   |  0.2075  |  0.1778  |    11    |    2302    |   23003    | 0h 11m 45s |     18     |
|    31    |  0.1688   |  0.2039  |  0.1738  |    11    |    3413    |   25683    | 0h 13m 5s  |     18     |
|    32    |  0.1712   |  0.1869  |  0.1686  |    17    |    1955    |   19308    | 0h 9m 42s  |     15     |
|    33    |  0.1736   |  0.1896  |  0.1690  |    17    |    2225    |   23249    | 0h 10m 52s |     14     |
|    34    |  0.1560   |  0.1875  |  0.1613  |    14    |    3312    |   25542    | 0h 13m 43s |     17     |
|    35    |  0.1637   |  0.1936  |  0.1664  |    17    |    2307    |   23293    | 0h 12m 5s  |     16     |
|    36    |  0.1503   |  0.2211  |  0.1692  |    13    |    3057    |   23344    | 0h 13m 22s |     19     |
|    37    |  0.1555   |  0.1749  |  0.1534  |    15    |    2152    |   21551    | 0h 10m 23s |     17     |
|    38    |  0.1541   |  0.2335  |  0.1768  |    11    |    3396    |   21745    | 0h 11m 56s |     20     |
|    39    |  0.1796   |  0.1922  |  0.1756  |    17    |    2941    |   24047    | 0h 11m 34s |     14     |
|    40    |  0.1664   |  0.2128  |  0.1761  |    13    |    3063    |   23604    | 0h 12m 37s |     16     |
|    41    |  0.1636   |  0.2328  |  0.1821  |    9     |    2749    |   27621    | 0h 15m 14s |     20     |
|    42    |  0.1726   |  0.1884  |  0.1693  |    18    |    2126    |   21146    | 0h 10m 12s |     15     |
|    43    |  0.1150   |  0.2332  |  0.1486  |    13    |    7385    |   29842    | 0h 19m 2s  |     27     |
|    44    |  0.1709   |  0.2273  |  0.1833  |    10    |    3009    |   26236    | 0h 13m 49s |     17     |
|    45    |  0.1577   |  0.2283  |  0.1778  |    10    |    3579    |   22609    | 0h 11m 53s |     19     |
|    46    |  0.1181   |  0.2363  |  0.1489  |    11    |    4452    |   33867    | 0h 21m 49s |     28     |
|    47    |  0.1133   |  0.2250  |  0.1387  |    11    |    5436    |   28590    | 0h 16m 43s |     27     |
|    48    |  0.1938   |  0.2365  |  0.2007  |    7     |    3049    |   22774    | 0h 12m 7s  |     16     |
|    49    |  0.1643   |  0.2218  |  0.1766  |    9     |    2906    |   28471    | 0h 15m 22s |     19     |

